experiment_TF	experiment_TF_family	best_motif	best_auc	tfs_of_best_motif	best_motifs_family
ADNP	ambiguous	NKX61_HUMAN.H11MO.1.B	0.71949	NKX6-1	NK-related factors{3.1.2}
AFF4	unknown	MA0028.2_ELK1	0.680265	ELK1	Ets-related factors{3.5.2}
AHR	PAS domain factors{1.2.5}	AHR_HUMAN.H11MO.0.B	0.70244	AHR	PAS domain factors{1.2.5}
AR	Steroid hormone receptors (NR3){2.1.1}	MA0727.1_NR3C2	0.8314825333333333	NR3C2	Steroid hormone receptors (NR3){2.1.1}
ARID1B	ARID-related factors{3.7.1}	MA0470.1_E2F4	0.5613	E2F4	E2F-related factors{3.3.2}
ARID2	ARID-related factors{3.7.1}	NRF1_HUMAN.H11MO.0.A	0.64669	NRF1	NRF{0.0.6}
ARID3A	ARID-related factors{3.7.1}	MA0759.1_ELK3	0.61407	ELK3	Ets-related factors{3.5.2}
ARNT	PAS domain factors{1.2.5}	ARNT_HUMAN.H11MO.0.B	0.6759400000000001	ARNT	PAS domain factors{1.2.5}
ARNTL	PAS domain factors{1.2.5}	BMAL1_HUMAN.H11MO.0.A	0.75606	ARNTL	PAS domain factors{1.2.5}
ARRB1	unknown	NRF1_HUMAN.H11MO.0.A	0.70722	NRF1	NRF{0.0.6}
ASCL1	MyoD / ASC-related factors{1.2.2}	ASCL2_HUMAN.H11MO.0.D	0.9274633333333333	ASCL2	MyoD / ASC-related factors{1.2.2}
ASH2L	unknown	GRHL2_HUMAN.H11MO.0.A	0.78199	GRHL2	Grainyhead-related factors{6.7.1}
ASXL1	unknown	MA0028.2_ELK1	0.64002	ELK1	Ets-related factors{3.5.2}
ATF1	CREB-related factors{1.1.7}	CREB1_HUMAN.H11MO.0.A	0.8864650000000001	CREB1	CREB-related factors{1.1.7}
ATF2	Jun-related factors{1.1.1}	MA1143.1_FOSL1::JUND_var.2	0.729125	FOSL1:JUND	ambiguous
ATF3	Fos-related factors{1.1.2}	MA1143.1_FOSL1::JUND_var.2	0.7631271428571429	FOSL1:JUND	ambiguous
