experiment_TF	experiment_TF_family	best_motif	best_auc	tfs_of_best_motif	best_motifs_family
CREB3	CREB-related factors{1.1.7}	TYY1_HUMAN.H11MO.0.A	0.70514	YY1	More than 3 adjacent zinc finger factors{2.3.3}
CTCF	More than 3 adjacent zinc finger factors{2.3.3}	CTCF_HUMAN.H11MO.0.A	0.9778453551912568	CTCF	More than 3 adjacent zinc finger factors{2.3.3}
CTCFL	More than 3 adjacent zinc finger factors{2.3.3}	CTCFL_HUMAN.H11MO.0.A	0.85738	CTCFL	More than 3 adjacent zinc finger factors{2.3.3}
DNMT3B	GATA-type zinc fingers{2.2.1}	CTCFL_HUMAN.H11MO.0.A	0.66557	CTCFL	More than 3 adjacent zinc finger factors{2.3.3}
EGR1	Three-zinc finger Krüppel-related factors{2.3.1}	MA0732.1_EGR3	0.9109283333333332	EGR3	Three-zinc finger Krüppel-related factors{2.3.1}
KDM5B	ARID-related factors{3.7.1}	CTCFL_HUMAN.H11MO.0.A	0.78862875	CTCFL	More than 3 adjacent zinc finger factors{2.3.3}
KLF1	Three-zinc finger Krüppel-related factors{2.3.1}	KLF4_HUMAN.H11MO.0.A	0.6731499999999999	KLF4	Three-zinc finger Krüppel-related factors{2.3.1}
KLF13	Three-zinc finger Krüppel-related factors{2.3.1}	KLF14_HUMAN.H11MO.0.D	0.77419	KLF14	Three-zinc finger Krüppel-related factors{2.3.1}
KLF4	Three-zinc finger Krüppel-related factors{2.3.1}	KLF4_HUMAN.H11MO.0.A	0.8082119999999999	KLF4	Three-zinc finger Krüppel-related factors{2.3.1}
KLF5	Three-zinc finger Krüppel-related factors{2.3.1}	KLF4_HUMAN.H11MO.0.A	0.6926766666666667	KLF4	Three-zinc finger Krüppel-related factors{2.3.1}
KLF6	Three-zinc finger Krüppel-related factors{2.3.1}	MA0493.1_Klf1	0.75431	KLF1	Three-zinc finger Krüppel-related factors{2.3.1}
KLF9	Three-zinc finger Krüppel-related factors{2.3.1}	KLF9_HUMAN.H11MO.0.C	0.9488749999999999	KLF9	Three-zinc finger Krüppel-related factors{2.3.1}
MAZ	Factors with multiple dispersed zinc fingers{2.3.4}	SP1_HUMAN.H11MO.0.A	0.7696514285714285	SP1	Three-zinc finger Krüppel-related factors{2.3.1}
MIER1	Myb/SANT domain factors{3.5.1}	REST_HUMAN.H11MO.0.A	0.86147	REST	Factors with multiple dispersed zinc fingers{2.3.4}
MYNN	More than 3 adjacent zinc finger factors{2.3.3}	MYNN_HUMAN.H11MO.0.D	0.6981	MYNN	More than 3 adjacent zinc finger factors{2.3.3}
NEUROD1	Tal-related factors{1.2.3}	SP1_HUMAN.H11MO.1.A	0.68765	SP1	Three-zinc finger Krüppel-related factors{2.3.1}
NONO	NonO-related factors{0.2.1}	CTCFL_HUMAN.H11MO.0.A	0.67014	CTCFL	More than 3 adjacent zinc finger factors{2.3.3}
PAX8	Paired domain only{3.2.2}	MA1125.1_ZNF384	0.5963	ZNF384	More than 3 adjacent zinc finger factors{2.3.3}
