experiment_TF	experiment_TF_family	best_motif	best_auc	tfs_of_best_motif	best_motifs_family
ARID3A	ARID-related factors{3.7.1}	MA0759.1_ELK3	0.61407	ELK3	Ets-related factors{3.5.2}
BCL6	More than 3 adjacent zinc finger factors{2.3.3}	MA0062.2_Gabpa	0.704792	GABPA	Ets-related factors{3.5.2}
ELF1	Ets-related factors{3.5.2}	MA0062.2_Gabpa	0.934332	GABPA	Ets-related factors{3.5.2}
ELF3	Ets-related factors{3.5.2}	EHF_HUMAN.H11MO.0.B	0.9553600000000001	EHF	Ets-related factors{3.5.2}
ELK1	Ets-related factors{3.5.2}	MA0028.2_ELK1	0.8694949999999999	ELK1	Ets-related factors{3.5.2}
ELK4	Ets-related factors{3.5.2}	MA0028.2_ELK1	0.9522	ELK1	Ets-related factors{3.5.2}
ERG	Ets-related factors{3.5.2}	MA0475.2_FLI1	0.8411633333333333	FLI1	Ets-related factors{3.5.2}
ETS1	Ets-related factors{3.5.2}	MA0028.2_ELK1	0.775409	ELK1	Ets-related factors{3.5.2}
ETV1	Ets-related factors{3.5.2}	MA0761.1_ETV1	0.9246033333333333	ETV1	Ets-related factors{3.5.2}
ETV4	Ets-related factors{3.5.2}	MA0759.1_ELK3	0.91384	ELK3	Ets-related factors{3.5.2}
ETV6	Ets-related factors{3.5.2}	MA0136.2_ELF5	0.7590966666666666	ELF5	Ets-related factors{3.5.2}
FLI1	Ets-related factors{3.5.2}	MA0062.2_Gabpa	0.8226016666666666	GABPA	Ets-related factors{3.5.2}
GABPA	Ets-related factors{3.5.2}	MA0028.2_ELK1	0.945914	ELK1	Ets-related factors{3.5.2}
GATAD1	GATA-type zinc fingers{2.2.1}	ELK4_HUMAN.H11MO.0.A	0.65615	ELK4	Ets-related factors{3.5.2}
HBP1	SOX-related factors{4.1.1}	MA0028.2_ELK1	0.66261	ELK1	Ets-related factors{3.5.2}
IRF1	Interferon-regulatory factors{3.5.3}	MA0652.1_IRF8	0.7020375	IRF8	Interferon-regulatory factors{3.5.3}
IRF2	Interferon-regulatory factors{3.5.3}	MA0652.1_IRF8	0.85707	IRF8	Interferon-regulatory factors{3.5.3}
IRF4	Interferon-regulatory factors{3.5.3}	IRF4_HUMAN.H11MO.0.A	0.786248	IRF4	Interferon-regulatory factors{3.5.3}
KDM5A	ARID-related factors{3.7.1}	MA0028.2_ELK1	0.75189	ELK1	Ets-related factors{3.5.2}
LYL1	Tal-related factors{1.2.3}	MA0156.2_FEV	0.8575266666666667	FEV	Ets-related factors{3.5.2}
MAF	Maf-related factors{1.1.3}	MA0028.2_ELK1	0.7285349999999999	ELK1	Ets-related factors{3.5.2}
MYB	Myb/SANT domain factors{3.5.1}	MYB_HUMAN.H11MO.0.A	0.7659279999999999	MYB	Myb/SANT domain factors{3.5.1}
NCOR2	Myb/SANT domain factors{3.5.1}	MA0062.2_Gabpa	0.6588025	GABPA	Ets-related factors{3.5.2}
RARA	Thyroid hormone receptor-related factors (NR1){2.1.2}	MA0028.2_ELK1	0.75816	ELK1	Ets-related factors{3.5.2}
RBPJ	CSL-related factors{6.1.4}	GABPA_HUMAN.H11MO.0.A	0.6670659999999999	GABPA	Ets-related factors{3.5.2}
SMAD5	SMAD factors{7.1.1}	MA0028.2_ELK1	0.614645	ELK1	Ets-related factors{3.5.2}
SPI1	Ets-related factors{3.5.2}	SPIB_HUMAN.H11MO.0.A	0.9520160714285714	SPIB	Ets-related factors{3.5.2}
SPIB	Ets-related factors{3.5.2}	SPIB_HUMAN.H11MO.0.A	0.9831133333333334	SPIB	Ets-related factors{3.5.2}
STAT1	STAT factors{6.2.1}	MA0136.2_ELF5	0.7189666666666666	ELF5	Ets-related factors{3.5.2}
TAF1	TCF-7-related factors{4.1.3}	MA0028.2_ELK1	0.6660007692307693	ELK1	Ets-related factors{3.5.2}
TCF25	Nuclear localized protein 1{0.0.1}	MA0761.1_ETV1	0.64617	ETV1	Ets-related factors{3.5.2}
THAP1	THAP-related factors{2.9.1}	MA0062.2_Gabpa	0.69726	GABPA	Ets-related factors{3.5.2}
ZBTB11	More than 3 adjacent zinc finger factors{2.3.3}	MA0028.2_ELK1	0.82082	ELK1	Ets-related factors{3.5.2}
